Method,Rank,Parameter,Precision_Score,Files_±2%,Files_±5%,Files_±10%,Files_>20%,Gain_Avg_%,Loss_Avg_%,Gain_Median_%,Loss_Median_%,Best_Gain_%,Worst_Gain_%,Best_Loss_%,Worst_Loss_%,Total_Files
TwoPass-3m+1.8m,51,1.8,2148.42,31,85,133,18,98,104.58,97.51,101.27,99.97,0.47,100,282.06,188
SavGol-W9P3,52,9,2137.16,42,74,117,22,95.04,97.12,96.3,96.61,100.01,0.46,99.95,268.33,188
TwoPass-3m+1.7m,53,1.7,2093.2,29,84,134,19,98,104.8,97.51,101.17,99.97,0.47,100.04,279.59,188
TwoPass-3m+1.6m,54,1.6,2092.91,28,85,134,18,98,105.08,97.51,101.61,99.97,0.47,100.11,278.44,188
SavGol-W9P4,55,9,2091.68,40,72,118,21,94.8,96.88,96.2,96.5,100.06,0.45,100.03,267.92,188
DistBased-1.3m,56,1.3,2075.93,37,83,128,32,106.01,108.06,103.01,103.21,99.99,0.56,100,290.29,188
DistBased-1.2m,57,1.2,2060.27,37,82,129,33,106.34,108.39,102.76,103.51,99.99,0.56,99.98,290.91,188
TwoPass-3m+4.2m,58,4.2,2049.5,28,79,133,16,98,96.51,97.51,95.59,99.97,0.47,100.01,262.19,188
TwoPass-3m+4.1m,59,4.1,2029.61,27,79,133,16,98,96.61,97.51,95.7,99.97,0.47,100.06,261.57,188
TwoPass-3m+4.6m,60,4.6,2024.07,27,78,134,16,98,96.07,97.51,95.37,99.97,0.47,99.89,261.88,188
SavGol-W7P2,61,7,2017.92,33,74,128,22,98.74,100.82,98.86,98.99,100.15,0.48,99.76,278.83,188
DistBased-1.1m,62,1.1,2004.32,34,86,126,35,106.81,108.87,103.1,103.56,99.97,0.56,99.95,290.86,188
TwoPass-3m+4.3m,63,4.3,1999.36,25,80,133,16,98,96.36,97.51,95.46,99.97,0.47,100.01,262.59,188
TwoPass-3m+4.5m,64,4.5,1999.14,26,78,133,16,98,96.14,97.51,95.26,99.97,0.47,100.01,260.95,188
SavGol-W7P3,65,7,1982.92,32,76,123,23,98.39,100.46,98.56,98.81,99.99,0.48,100,277.03,188
TwoPass-3m+4.9m,66,4.9,1978.81,25,77,135,16,98,95.82,97.51,95.12,99.97,0.47,100,259.14,188
TwoPass-3m+4.8m,67,4.8,1978.81,24,80,133,16,98,95.81,97.51,95.13,99.97,0.47,99.88,260.63,188
TwoPass-3m+5.3m,68,5.3,1973.64,25,77,134,16,98,95.64,97.51,94.83,99.97,0.47,99.97,259.73,188
TwoPass-3m+5.2m,69,5.2,1963.84,25,77,132,16,98,95.84,97.51,95.27,99.97,0.47,100.24,266.32,188
TwoPass-3m+4.4m,70,4.4,1959.29,24,78,133,16,98,96.29,97.51,95.49,99.97,0.47,100.02,263.46,188
TwoPass-3m+5.6m,71,5.6,1959,24,77,135,16,98,96,97.51,95.36,99.97,0.47,100.01,257,188
TwoPass-3m+5.4m,72,5.4,1958.77,24,77,135,16,98,95.77,97.51,95.14,99.97,0.47,99.93,261.92,188
TwoPass-3m+5.1m,73,5.1,1958.74,24,77,135,16,98,95.74,97.51,94.9,99.97,0.47,100,263.46,188
TwoPass-3m+5.9m,74,5.9,1953.84,24,77,134,16,98,95.84,97.51,95.13,99.97,0.47,99.9,259.08,188
TwoPass-3m+5.5m,75,5.5,1943.74,24,77,132,16,98,95.74,97.51,94.99,99.97,0.47,100.1,257.68,188
TwoPass-3m+5.8m,76,5.8,1943.65,23,78,134,16,98,95.65,97.51,94.98,99.97,0.47,99.92,259.63,188
DistBased-1.0m,77,1,1943.63,34,83,124,37,107.16,109.21,103.04,103.95,100.07,202.07,99.97,291.39,188
TwoPass-3m+4.7m,78,4.7,1933.95,23,77,134,16,98,95.95,97.51,95.05,99.97,0.47,99.91,261.22,188
