Interval_m,Optimization_Score,Files_90-110%,Files_80-120%,Files_95-105%,Files_98-102%,Mean_Accuracy_%,Median_Accuracy_%,Best_Accuracy_%,Worst_Accuracy_%,Accuracy_StdDev,Mean_Ratio,Median_Ratio,Files_Balanced_0.8-1.2,Files_Excellent_0.9-1.1,Files_Perfect_0.95-1.05,Ratio_StdDev,Total_Files
1.3,64.52,140,175,97,40,109.22,100.81,100.03,595.14,41.43,1.046,1,187,175,157,0.408,205
1.2,64.89,140,172,98,44,109.44,100.78,99.94,594.82,41.42,1.046,1,187,175,157,0.409,205
1.1,64.7,137,172,95,47,109.78,101.2,100.06,594.43,41.45,1.046,1,187,175,157,0.41,205
0.8,64.2,133,172,94,47,109.03,100.24,99.99,595.88,41.78,1.046,1,187,175,158,0.407,205
0.9,64.09,134,172,94,44,108.73,100.13,100.07,595.64,41.71,1.046,1,187,175,158,0.406,205
1,64.48,135,170,97,48,110.11,101.39,100,594.71,41.62,1.046,1,187,175,158,0.408,205
0.7,64.21,132,170,93,49,109.43,100.53,99.99,596.18,41.93,1.046,1,187,175,157,0.405,205
0.5,63.92,129,168,92,51,109.89,100.65,100.07,595.41,42,1.046,1,187,175,158,0.407,205
0.6,63.86,131,168,92,47,109.58,100.76,100.05,595.89,41.95,1.046,1,187,175,158,0.405,205
0.4,63.79,129,167,88,50,110.21,100.77,100,595.53,42.06,1.046,1,187,175,158,0.406,205
0.1,62.92,125,166,90,48,111.15,101.44,99.94,596.3,42.5,1.045,1,187,175,158,0.405,205
0.2,63.45,127,165,89,50,110.8,101.45,100.02,596.59,42.32,1.046,1,187,175,158,0.404,205
0.3,63.23,128,164,86,46,110.5,101.09,100.01,596.17,42.22,1.046,1,187,175,159,0.405,205
