Rank,Interval (m),Weighted Score,Files 98-102%,Files 95-105%,Files 90-110%,Files 85-115%,Files 80-120%,Files Outside 80-120%,Total Files,% in 98-102%,% in 95-105%,% in 90-110%,% in 85-115%,% in 80-120%,% Outside 80-120%,Average Accuracy %,Median Accuracy %,Best Accuracy %,Worst Accuracy %,Std Deviation
122,7.1,855,35,97,143,163,178,10,188,18.6,51.6,76.1,86.7,94.7,5.3,97.34,97.2,100,0.5,12.19
123,5.6,855,37,97,142,162,177,11,188,19.7,51.6,75.5,86.2,94.1,5.9,97.3,96.9,100.1,0.5,12.39
124,7.6,855,37,96,144,162,177,11,188,19.7,51.1,76.6,86.2,94.1,5.9,97.32,97.2,99.9,0.5,12.42
125,7.9,854.5,36,97,144,163,177,11,188,19.1,51.6,76.6,86.7,94.1,5.9,97.18,96.9,100.1,0.5,12.2
126,5,854,35,97,143,161,178,10,188,18.6,51.6,76.1,85.6,94.7,5.3,97.29,97.05,100,0.5,12.34
127,7.65,852,36,97,143,161,177,11,188,19.1,51.6,76.1,85.6,94.1,5.9,97.34,96.85,100,0.5,12.43
128,4.94,851.5,36,97,143,160,177,11,188,19.1,51.6,76.1,85.1,94.1,5.9,97.38,97,100,0.5,12.42
129,5.4,851,37,95,143,163,177,11,188,19.7,50.5,76.1,86.7,94.1,5.9,97.23,97.1,99.9,0.5,12.24
130,7.95,850.5,39,92,143,164,177,11,188,20.7,48.9,76.1,87.2,94.1,5.9,97.1,96.9,100.2,0.5,12.15
131,5.95,850,35,98,142,162,177,11,188,18.6,52.1,75.5,86.2,94.1,5.9,97.35,97,100,0.5,12.34
132,5.45,848,35,97,142,164,177,11,188,18.6,51.6,75.5,87.2,94.1,5.9,97.39,97.1,99.9,0.5,12.4
133,5.55,846,35,96,143,163,177,11,188,18.6,51.1,76.1,86.7,94.1,5.9,97.35,97.1,99.9,0.5,12.34
134,1.35,845,52,100,137,151,166,22,188,27.7,53.2,72.9,80.3,88.3,11.7,104.15,100.8,100,0.6,16.03
135,7.85,844.5,35,95,144,163,177,11,188,18.6,50.5,76.6,86.7,94.1,5.9,97.26,97,100,0.5,12.27
136,1.3,828.5,49,100,134,151,166,22,188,26.1,53.2,71.3,80.3,88.3,11.7,104.27,100.9,100,0.6,16.16
137,1.2,817.5,50,100,136,151,163,25,188,26.6,53.2,72.3,80.3,86.7,13.3,104.48,100.95,100,0.6,16.29
138,1.1,815,51,101,134,150,162,26,188,27.1,53.7,71.3,79.8,86.2,13.8,104.62,100.8,100,0.6,16.51
139,1.15,812,49,101,137,151,162,26,188,26.1,53.7,72.9,80.3,86.2,13.8,104.59,101.25,100,0.6,16.35
140,1.04,794.5,53,98,133,150,159,29,188,28.2,52.1,70.7,79.8,84.6,15.4,104.73,100.75,100.1,0.6,16.65
141,1,793,52,99,133,149,159,29,188,27.7,52.7,70.7,79.3,84.6,15.4,104.9,100.85,100,0.6,16.89
142,0.95,793,48,97,135,151,162,26,188,25.5,51.6,71.8,80.3,86.2,13.8,103.26,100.4,99.9,0.5,16.82
143,0.9,784,48,97,133,151,161,27,188,25.5,51.6,70.7,80.3,85.6,14.4,103.36,100.45,100.1,0.5,16.95
144,0.85,768.5,47,97,129,152,160,28,188,25,51.6,68.6,80.9,85.1,14.9,103.42,100.55,100,0.5,17.17
145,0.8,747.5,47,96,129,152,157,31,188,25,51.1,68.6,80.9,83.5,16.5,103.46,100.45,100,0.5,17.21
146,0.75,747,47,94,129,151,158,30,188,25,50,68.6,80.3,84,16,103.56,100.3,99.9,0.5,17.41
147,0.65,739.5,46,94,131,150,157,31,188,24.5,50,69.7,79.8,83.5,16.5,103.66,100.35,99.9,0.5,17.72
148,0.6,737.5,47,92,131,150,157,31,188,25,48.9,69.7,79.8,83.5,16.5,103.76,100.4,100.1,0.5,17.85
149,0.55,737,47,90,131,149,158,30,188,25,47.9,69.7,79.3,84,16,103.79,100.4,100,0.5,18.13
150,0.7,736.5,47,93,128,151,157,31,188,25,49.5,68.1,80.3,83.5,16.5,103.63,100.45,100,0.5,17.47
151,0.5,718.5,45,89,130,149,157,31,188,23.9,47.3,69.1,79.3,83.5,16.5,103.76,100.25,100,0.5,18.36
152,0.35,717,45,88,127,149,158,30,188,23.9,46.8,67.6,79.3,84,16,103.73,100.25,100,0.5,18.78
153,0.45,714.5,43,88,131,148,158,30,188,22.9,46.8,69.7,78.7,84,16,103.82,100.3,100,0.5,18.48
154,0.4,711.5,46,88,125,148,157,31,188,24.5,46.8,66.5,78.7,83.5,16.5,103.79,100.35,100,0.5,18.66
155,0.25,706.5,44,86,126,151,158,30,188,23.4,45.7,67,80.3,84,16,103.28,100,100.1,0.5,19.36
156,0.3,705.5,44,85,127,152,158,30,188,23.4,45.2,67.6,80.9,84,16,103.57,100.3,99.9,0.5,19.08
157,0.2,684,41,83,126,148,158,30,188,21.8,44.1,67,78.7,84,16,102.92,99.65,100,0.5,19.81
158,0.15,616.5,33,81,123,146,154,34,188,17.6,43.1,65.4,77.7,81.9,18.1,102.46,99.55,100,0.5,20.32
159,0.1,610,37,79,117,143,153,35,188,19.7,42,62.2,76.1,81.4,18.6,101.87,99.3,99.9,0.5,20.9
160,0.05,553.5,35,76,112,139,148,40,188,18.6,40.4,59.6,73.9,78.7,21.3,100.79,99.15,100,0,22.12
